to	~쪽으로, ~에게
ever	언젠가, 이제까지
she	그녀
too	~도 또한
scientific	과학적인
night	밤
mind	마음
along	~을 따라
air	공기
keep	간직하다
power	힘
rather	오히려
then	그때
side	측면
ability	능력
teacher	선생님
present	현재, 선물
three	셋
children	어린이들
consider	고려하다
city	도시
but	그러나
he	그
decide	결심하다
home	가정
their	그들의
men	man(남자)의 복수형
on	~위에
such	그러한
parents	부모님
pass	통과하다
four	넷
young	젊은
play	놀다
woman	여자
five	다섯
world	세계
thousand	천 (1000)
feel	느끼다
sound	소리
number	수
watch	지켜보다
have	가지다
view	전망
two	둘
think	생각하다
still	아직도
free	자유로운
soon	곧
bring	가져오다
letter	글자
stand	서다
most	가장 큰
man	남자
accept	받아들이다
given	give(주다)의 과거분사
off	떨어져
seen	see(보다)의 과거 분사
a	하나의
course	진로, 과정
therefore	그러므로
freedom	자유
very	대단히
out	밖에
little	작은
believe	믿다
full	가득한
some	어떤
together	함께
activity	활동
group	집단
exist	존재하다
back	뒤, 되돌아와서
are	~이다
begin	시작되다
allow	허락하다
country	나라
school	학교
purpose	목적
college	단과대학
which	어느 것
use	이용하다
real	진실의
seem	~으로 보이다
much	다량의
you	당신(들)
opinion	의견
different	다른
find	찾아내다
follow	따라가다
let	~하게 하다
into	~안으로
eye	눈
wish	바라다
me	나를
book	책
thing	것
matter	문제
one	하나
American	미국의, 미국인
always	항상
knowledge	지식
idea	생각
modern	현대의
house	집
over	~위에
walk	걷다
would	will의 과거형
small	작은
town	마을
near	가까이
future	미래
help	돕다
same	같은
return	돌려주다
away	떨어져서
work	일하다
example	예
who	누구
leave	남기다
system	체계
yet	아직
almost	거의
case	경우
and	~와, 그리고
new	새로운
I	나
its	그것의
far	먼
next	다음의
give	주다
today	오늘
business	사업
upon	위로
face	얼굴
sometimes	가끔
or	혹은
food	식품
car	차
easy	쉬운
create	창조하다
road	길
if	만약 ~라면
what	무엇
control	제어하다
word	낱말
England	잉글랜드
week	일주일
left	왼쪽
hour	시간
nature	자연
big	큰
picture	그림
is	be의 3인칭 단수 현재형(~이다)
start	출발하다
taken	take(잡다, 받다)의 과거분사
was	be의 1, 3인칭 단수 과거형(~였다)
order	명령(하다)
hope	바라다, 희망하다
after	~후에
get	얻다
though	비록 ~한다 할지라도
enjoy	즐기다
room	방
point	점
also	~도 또한
how	어떻게
appear	나타나다
my	나의
short	짧은
art	예술
call	부르다
head	머리
hand	손
travel	여행하다
more	더 많은
try	시도하다
live	살다
need	필요하다
we	우리
deal	다루다
individual	개인, 개인적인
moment	순간
for	~을 위해
however	그러나
poor	가난한
lie	눕다
public	공중의
us	우리를, 우리에게
other	다른
concern	~에 관계하다
thought	think(생각하다)의 과거/ 과거분사형
read	읽다
know	알다
great	거대한, 대단한
want	~을 원하다
so	그래서
Korea	한국
change	바꾸다
day	하루, 날
difference	차이점
carry	나르다, 운반하다
while	~하는 동안
both	둘 다
earth	지구
last	맨 마지막의
pleasure	기쁨
state	상태
never	결코 ~하지 않다
around	주위에
age	나이
discover	발견하다
than	~보다
many	많은
force	힘
heart	심장
science	과학
among	~의 사이에
question	질문
learn	~을 배우다
feeling	감정
with	~와(함께)
in	안에
end	끝, 마지막
society	사회
come	오다
language	언어
her	그녀의
trouble	문제점, 괴로움, 곤란
best	가장 좋은
sure	틀림없는
produce	생산하다
place	장소
child	어린이, 아이
cause	~의 원인이 되다, 초래하다
there	그 곳에, 거기
anything	무엇이든
reason	이유
run	달리다
social	사회적인
could	can(할 수 있다)의 과거형
year	1년, 해
life	생명
general	일반적인
ago	~전에
hard	어려운
open	열다
against	~에 반대하여
long	긴
our	우리의
important	중요한
right	옳은
develop	개발하다, 발전하다
really	정말
machine	기계
able	~할 수 있는
value	가치
close	닫다
all	모든
subject	주제
possible	가능한
like	좋아하다
own	자기 자신의
itself	그것 자체
enough	충분한
writer	작가
when	언제
train	기차
culture	문화
money	돈
put	놓다
become	~이 되다
later	나중에
hear	듣다
will	~할 것이다
die	죽다
land	땅
please	기쁘게 하다
common	공통의, 보통의
up	위로
without	~없이
job	일, 직업
remember	기억하다
natural	자연의
why	왜
happen	발생하다
certain	확신하는
perhaps	아마
at	~에
form	모양, 형태
stop	멈추다
probably	아마
grow	자라다, 기르다
education	교육
his	그의, 그의 것
century	세기, 100년
talk	이야기하다
part	일부, 부분
America	미국
usually	평소에는, 보통
speak	이야기하다
expert	전문가
few	거의 없는
it	그것
well	잘
death	사망, 죽음
say	말하다
people	사람들
law	법
may	~일지도 모르다
him	그를
they	그들
often	종종
progress	발전, 진행되다
answer	대답(하다)
development	발전, 발달
particular	특별한
set	놓다, 배치하다
water	물
time	시간
move	움직이다
turn	돌다
this	이것
problem	문제
high	높은
sense	감각
old	오래된, 늙은
during	~동안
whole	전부의
even	~조차
go	가다
did	do(하다)의 과거형
study	공부하다
do	하다
person	사람
look	보다
early	일찍이, 이른
about	~에 대하여
now	지금
just	다만
of	~의
again	다시
must	~해야 한다
toward	~쪽으로
body	몸
tell	말하다
each	각각의
human	인간
use	쓰다, 사용하다
family	가족
only	유일한, 단지
reach	도달하다
your	당신(들)의
under	~의 아래에
girl	소녀
fact	사실
something	어떤 것
Korean	한국인, 한국의
story	이야기
class	학급, 반
make	만들다
themselves	그들 자신
half	절반
down	아래로
every	모든, 매 ~마다
the	그
indeed	정말로, 실제로
himself	그 자신
whether	~인지 어떤지, ~든지 아니든지
can	~할 수 있다
morning	아침
mean	의미하다
understand	이해하다
another	다른 하나의
difficult	어려운
remain	남다, 여전히 ~이다
once	한 번
hundred	100
better	더 좋은
second	두 번째
past	과거, 지나간
less	더 적은
write	쓰다
where	어디(로, 에서)
way	길
result	결과
university	대학교
nation	국가
nothing	없는 것, 아무 것도 ~없다
love	사랑(하다)
here	여기
history	역사
through	~을 통하여
dream	꿈(을 꾸다)
